USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         1  0.0  0.0 128672  7332 ?        Ss   09:01   0:03 /usr/lib/systemd/systemd --switched-root --system --deserialize 22
root         2  0.0  0.0      0     0 ?        S    09:01   0:00 [kthreadd]
root         3  0.0  0.0      0     0 ?        S    09:01   0:03 [kworker/0:0]
root         4  0.0  0.0      0     0 ?        S<   09:01   0:00 [kworker/0:0H]
root         6  0.0  0.0      0     0 ?        S    09:01   0:00 [ksoftirqd/0]
root         7  0.0  0.0      0     0 ?        S    09:01   0:12 [ktimersoftd/0]
root         8  0.0  0.0      0     0 ?        S    09:01   0:00 [posixcputmr/0]
root         9  0.0  0.0      0     0 ?        S    09:01   0:00 [kswork]
root        10  0.0  0.0      0     0 ?        S    09:01   0:00 [kcmosdelayd]
root        11  0.0  0.0      0     0 ?        S    09:01   0:00 [migration/0]
root        12  0.0  0.0      0     0 ?        S    09:01   0:00 [rcu_preempt]
root        13  0.0  0.0      0     0 ?        S    09:01   0:00 [rcu_bh]
root        14  0.0  0.0      0     0 ?        S    09:01   0:00 [rcu_sched]
root        15  0.0  0.0      0     0 ?        S    09:01   0:00 [rcuc/0]
root        16  0.0  0.0      0     0 ?        S    09:01   0:00 [rcub/0]
root        17  0.0  0.0      0     0 ?        S<   09:01   0:00 [lru-add-drain]
root        20  0.0  0.0      0     0 ?        S    09:01   0:00 [rcuc/1]
root        21  0.0  0.0      0     0 ?        S    09:01   0:00 [migration/1]
root        22  0.1  0.0      0     0 ?        S    09:01   0:16 [ktimersoftd/1]
root        23  0.0  0.0      0     0 ?        S    09:01   0:07 [ksoftirqd/1]
root        24  0.0  0.0      0     0 ?        S    09:01   0:00 [posixcputmr/1]
root        26  0.0  0.0      0     0 ?        S<   09:01   0:00 [kworker/1:0H]
root        28  0.0  0.0      0     0 ?        S    09:01   0:00 [rcuc/2]
root        29  0.0  0.0      0     0 ?        S    09:01   0:00 [migration/2]
root        30  0.1  0.0      0     0 ?        S    09:01   0:14 [ktimersoftd/2]
