  PID  SPID TTY          TIME CMD
    1     1 ?        00:00:03 systemd
    2     2 ?        00:00:00 kthreadd
    3     3 ?        00:00:03 kworker/0:0
    4     4 ?        00:00:00 kworker/0:0H
    6     6 ?        00:00:00 ksoftirqd/0
    7     7 ?        00:00:12 ktimersoftd/0
    8     8 ?        00:00:00 posixcputmr/0
    9     9 ?        00:00:00 kswork
   10    10 ?        00:00:00 kcmosdelayd
   11    11 ?        00:00:00 migration/0
   12    12 ?        00:00:00 rcu_preempt
   13    13 ?        00:00:00 rcu_bh
   14    14 ?        00:00:00 rcu_sched
   15    15 ?        00:00:00 rcuc/0
   16    16 ?        00:00:00 rcub/0
   17    17 ?        00:00:00 lru-add-drain
   20    20 ?        00:00:00 rcuc/1
   21    21 ?        00:00:00 migration/1
   22    22 ?        00:00:16 ktimersoftd/1
   23    23 ?        00:00:07 ksoftirqd/1
   24    24 ?        00:00:00 posixcputmr/1
   26    26 ?        00:00:00 kworker/1:0H
   28    28 ?        00:00:00 rcuc/2
   29    29 ?        00:00:00 migration/2
   30    30 ?        00:00:14 ktimersoftd/2
   31    31 ?        00:00:04 ksoftirqd/2
   32    32 ?        00:00:00 posixcputmr/2
   34    34 ?        00:00:00 kworker/2:0H
   36    36 ?        00:00:00 rcuc/3
   37    37 ?        00:00:00 migration/3
   38    38 ?        00:00:14 ktimersoftd/3
   39    39 ?        00:00:06 ksoftirqd/3
   40    40 ?        00:00:00 posixcputmr/3
   42    42 ?        00:00:00 kworker/3:0H
   44    44 ?        00:00:00 kdevtmpfs
   45    45 ?        00:00:00 netns
   46    46 ?        00:00:00 khungtaskd
   47    47 ?        00:00:00 writeback
   48    48 ?        00:00:00 kintegrityd
   49    49 ?        00:00:00 bioset
   50    50 ?        00:00:00 bioset
   51    51 ?        00:00:00 bioset
   52    52 ?        00:00:00 kblockd
   53    53 ?        00:00:01 irq/9-acpi
   55    55 ?        00:00:00 md
   56    56 ?        00:00:00 edac-poller
   57    57 ?        00:00:00 watchdogd
   63    63 ?        00:00:00 kswapd0
   64    64 ?        00:00:00 ksmd
   65    65 ?        00:00:00 crypto
   73    73 ?        00:00:00 kthrotld
   75    75 ?        00:00:00 irq/121-PCIe PM
   76    76 ?        00:00:00 irq/122-PCIe PM
   77    77 ?        00:00:00 irq/123-PCIe PM
   78    78 ?        00:00:00 irq/124-PCIe PM
   83    83 ?        00:00:00 kmpath_rdacd
   84    84 ?        00:00:00 kaluad
   85    85 ?        00:00:00 irq/125-xhci_hc
   86    86 ?        00:00:00 kworker/0:2
   87    87 ?        00:00:00 kpsmoused
   88    88 ?        00:00:00 irq/8-rtc0
   89    89 ?        00:00:00 ipv6_addrconf
  103   103 ?        00:00:00 deferwq
  144   144 ?        00:00:00 kauditd
  317   317 ?        00:00:00 ata_sff
  333   333 ?        00:00:00 irq/126-0000:00
  334   334 ?        00:00:00 ttm_swap
  335   335 ?        00:00:00 scsi_eh_1
  336   336 ?        00:00:00 scsi_tmf_1
