UNIT FILE                                     STATE   
proc-sys-fs-binfmt_misc.automount             static  
dev-hugepages.mount                           static  
dev-mqueue.mount                              static  
proc-fs-nfsd.mount                            static  
proc-sys-fs-binfmt_misc.mount                 static  
run-vmblock\x2dfuse.mount                     disabled
sys-fs-fuse-connections.mount                 static  
sys-kernel-config.mount                       static  
sys-kernel-debug.mount                        static  
tmp.mount                                     disabled
var-lib-nfs-rpc_pipefs.mount                  static  
brandbot.path                                 disabled
systemd-ask-password-console.path             static  
systemd-ask-password-plymouth.path            static  
systemd-ask-password-wall.path                static  
session-1.scope                               static  
session-21.scope                              static  
abrt-ccpp.service                             enabled 
abrt-oops.service                             enabled 
abrt-pstoreoops.service                       disabled
abrt-vmcore.service                           enabled 
abrt-xorg.service                             enabled 
abrtd.service                                 enabled 
accounts-daemon.service                       enabled 
alsa-restore.service                          static  
alsa-state.service                            masked  
anaconda-direct.service                       static  
anaconda-nm-config.service                    static  
anaconda-noshell.service                      static  
anaconda-pre.service                          static  
anaconda-shell@.service                       static  
anaconda-sshd.service                         static  
anaconda-tmux@.service                        static  
anaconda.service                              static  
arp-ethers.service                            disabled
atd.service                                   enabled 
auditd.service                                enabled 
auth-rpcgss-module.service                    static  
autofs.service                                disabled
autovt@.service                               enabled 
avahi-daemon.service                          masked  
blk-availability.service                      disabled
bluetooth.service                             masked  
bolt.service                                  masked  
brandbot.service                              static  
brltty.service                                disabled
canberra-system-bootup.service                disabled
canberra-system-shutdown-reboot.service       disabled
canberra-system-shutdown.service              disabled
certmonger.service                            disabled
cgconfig.service                              disabled
cgdcbxd.service                               disabled
cgred.service                                 disabled
chrony-dnssrv@.service                        static  
chrony-wait.service                           disabled
chronyd.service                               disabled
clean-mount-point@.service                    static  
colord.service                                static  
configure-printer@.service                    static  
console-getty.service                         disabled
console-shell.service                         disabled
container-getty@.service                      static  
cpupower.service                              disabled
crond.service                                 enabled 
cups-browsed.service                          disabled
dbus-org.freedesktop.hostname1.service        static  
dbus-org.freedesktop.import1.service          static  
dbus-org.freedesktop.locale1.service          static  
dbus-org.freedesktop.login1.service           static  
dbus-org.freedesktop.machine1.service         static  
dbus-org.freedesktop.nm-dispatcher.service    enabled 
dbus-org.freedesktop.timedate1.service        static  
dbus.service                                  static  
debug-shell.service                           disabled
display-manager.service                       enabled 
dkms.service                                  enabled 
dm-event.service                              static  
dmraid-activation.service                     enabled 
dnsmasq.service                               disabled
dracut-cmdline.service                        static  
dracut-initqueue.service                      static  
dracut-mount.service                          static  
dracut-pre-mount.service                      static  
dracut-pre-pivot.service                      static  
dracut-pre-trigger.service                    static  
dracut-pre-udev.service                       static  
dracut-shutdown.service                       static  
ebtables.service                              disabled
emergency.service                             static  
ethercat.service                              enabled 
fcoe.service                                  disabled
firewalld.service                             masked  
firstboot-graphical.service                   disabled
flatpak-system-helper.service                 static  
fprintd.service                               static  
fstrim.service                                static  
fwupd-offline-update.service                  static  
fwupd.service                                 static  
fwupdate-cleanup.service                      static  
gdm.service                                   enabled 
geoclue.service                               static  
getty@.service                                enabled 
gssproxy.service                              disabled
halt-local.service                            static  
htcacheclean.service                          static  
httpd.service                                 disabled
hypervfcopyd.service                          static  
hypervkvpd.service                            static  
hypervvssd.service                            static  
ibacm.service                                 disabled
initial-setup-graphical.service               disabled
initial-setup-reconfiguration.service         enabled 
initial-setup-text.service                    disabled
initial-setup.service                         disabled
initrd-cleanup.service                        static  
initrd-parse-etc.service                      static  
initrd-switch-root.service                    static  
initrd-udevadm-cleanup-db.service             static  
instperf.service                              static  
ipmi.service                                  masked  
iprdump.service                               disabled
iprinit.service                               disabled
iprupdate.service                             disabled
ipsec.service                                 disabled
irqbalance.service                            disabled
iscsi-onboot.service                          disabled
iscsi-shutdown.service                        static  
iscsi.service                                 enabled 
iscsid.service                                disabled
iscsiuio.service                              disabled
kdump.service                                 enabled 
kmod-static-nodes.service                     static  
kpatch.service                                disabled
ksm.service                                   enabled 
ksmtuned.service                              enabled 
libstoragemgmt.service                        enabled 
libvirt-guests.service                        disabled
libvirtd.service                              enabled 
lldpad.service                                disabled
lvm2-lvmetad.service                          static  
lvm2-lvmpolld.service                         static  
lvm2-monitor.service                          enabled 
lvm2-pvscan@.service                          static  
mdadm-grow-continue@.service                  static  
mdadm-last-resort@.service                    static  
mdcheck_continue.service                      static  
mdcheck_start.service                         static  
mdmon@.service                                static  
mdmonitor-oneshot.service                     static  
mdmonitor.service                             enabled 
messagebus.service                            static  
microcode.service                             enabled 
ModemManager.service                          masked  
multipathd.service                            enabled 
ndctl-monitor.service                         disabled
netcf-transaction.service                     disabled
NetworkManager-dispatcher.service             enabled 
NetworkManager-wait-online.service            enabled 
NetworkManager.service                        enabled 
nfs-blkmap.service                            disabled
nfs-config.service                            static  
nfs-idmap.service                             static  
nfs-idmapd.service                            static  
nfs-lock.service                              static  
nfs-mountd.service                            static  
nfs-rquotad.service                           disabled
nfs-secure.service                            static  
nfs-server.service                            disabled
nfs-utils.service                             static  
nfs.service                                   disabled
nfslock.service                               static  
ntpd.service                                  disabled
ntpdate.service                               disabled
numad.service                                 disabled
oddjobd.service                               disabled
packagekit-offline-update.service             static  
packagekit.service                            static  
pcscd.service                                 masked  
plymouth-halt.service                         disabled
plymouth-kexec.service                        disabled
plymouth-poweroff.service                     disabled
plymouth-quit-wait.service                    disabled
plymouth-quit.service                         disabled
plymouth-read-write.service                   disabled
plymouth-reboot.service                       disabled
plymouth-start.service                        disabled
plymouth-switch-root.service                  static  
pmcd.service                                  disabled
pmie.service                                  disabled
pmie_check.service                            static  
pmie_daily.service                            disabled
pmlogger.service                              disabled
pmlogger_check.service                        disabled
pmlogger_daily-poll.service                   disabled
pmlogger_daily.service                        disabled
pmproxy.service                               disabled
polkit.service                                static  
powertop.service                              disabled
pppd-dns.service                              masked  
psacct.service                                disabled
qemu-guest-agent.service                      enabled 
quotaon.service                               static  
radvd.service                                 disabled
rc-local.service                              static  
rdisc.service                                 disabled
rdma-load-modules@.service                    static  
rdma-ndd.service                              static  
rdma.service                                  disabled
realmd.service                                static  
rescue.service                                static  
rhel-autorelabel-mark.service                 enabled 
rhel-autorelabel.service                      enabled 
rhel-configure.service                        enabled 
rhel-dmesg.service                            enabled 
rhel-domainname.service                       enabled 
rhel-import-state.service                     enabled 
rhel-loadmodules.service                      enabled 
rhel-readonly.service                         enabled 
rngd.service                                  enabled 
rpc-gssd.service                              static  
rpc-rquotad.service                           disabled
rpc-statd-notify.service                      static  
rpc-statd.service                             static  
rpcbind.service                               enabled 
rpcgssd.service                               static  
rpcidmapd.service                             static  
rsyncd.service                                disabled
rsyncd@.service                               static  
rsyslog.service                               enabled 
rt-entsk.service                              disabled
rt-setup.service                              enabled 
rtcheck.service                               disabled
rtctl.service                                 enabled 
rtkit-daemon.service                          enabled 
saned@.service                                indirect
saslauthd.service                             disabled
selinux-policy-migrate-local-changes@.service static  
serial-getty@.service                         disabled
smartd.service                                enabled 
snmpd.service                                 disabled
snmptrapd.service                             disabled
sound.service                                 masked  
speech-dispatcherd.service                    disabled
spice-vdagentd.service                        indirect
sshd-keygen.service                           static  
sshd.service                                  enabled 
sshd@.service                                 static  
sssd-autofs.service                           indirect
sssd-nss.service                              indirect
sssd-pac.service                              indirect
sssd-pam.service                              indirect
sssd-secrets.service                          indirect
sssd-ssh.service                              indirect
sssd-sudo.service                             indirect
sssd.service                                  disabled
svnserve.service                              disabled
sysstat.service                               enabled 
systemd-ask-password-console.service          static  
